Mouse,ABX,Hormone,Group_Total
501,Non_ABX,Saline,Non_ABX_Saline
502,Non_ABX,Saline,Non_ABX_Saline
503,Non_ABX,Saline,Non_ABX_Saline
504,Non_ABX,Saline,Non_ABX_Saline
505,Non_ABX,Saline,Non_ABX_Saline
506,Non_ABX,Saline,Non_ABX_Saline
511,ABX,Saline,ABX_Saline
512,ABX,Saline,ABX_Saline
513,ABX,Saline,ABX_Saline
514,ABX,Saline,ABX_Saline
515,ABX,Saline,ABX_Saline
516,ABX,Saline,ABX_Saline
601,Non_ABX,PGH,Non_ABX_PGH
602,Non_ABX,PGH,Non_ABX_PGH
603,Non_ABX,PGH,Non_ABX_PGH
604,Non_ABX,PGH,Non_ABX_PGH
605,Non_ABX,PGH,Non_ABX_PGH
606,Non_ABX,PGH,Non_ABX_PGH
611,ABX,PGH,ABX_PGH
612,ABX,PGH,ABX_PGH
613,ABX,PGH,ABX_PGH
614,ABX,PGH,ABX_PGH
615,ABX,PGH,ABX_PGH
616,ABX,PGH,ABX_PGH
701,Non_ABX,PL,Non_ABX_PL
702,Non_ABX,PL,Non_ABX_PL
703,Non_ABX,PL,Non_ABX_PL
704,Non_ABX,PL,Non_ABX_PL
705,Non_ABX,PL,Non_ABX_PL
706,Non_ABX,PL,Non_ABX_PL
711,ABX,PL,ABX_PL
712,ABX,PL,ABX_PL
713,ABX,PL,ABX_PL
714,ABX,PL,ABX_PL
715,ABX,PL,ABX_PL
716,ABX,PL,ABX_PL