Day,Timepoint,Mouse,ABX,Hormone,Weight
D5,Endpoint,501,Non_ABX,Saline,20.70
D5,Endpoint,502,Non_ABX,Saline,20.00
D5,Endpoint,504,Non_ABX,Saline,20.10
D5,Endpoint,505,Non_ABX,Saline,19.90
D5,Endpoint,503,Non_ABX,Saline,20.10
D5,Endpoint,506,Non_ABX,Saline,20.40
D5,Endpoint,603,Non_ABX,PGH,20.60
D5,Endpoint,601,Non_ABX,PGH,20.80
D5,Endpoint,602,Non_ABX,PGH,18.60
D5,Endpoint,604,Non_ABX,PGH,18.90
D5,Endpoint,605,Non_ABX,PGH,20.30
D5,Endpoint,606,Non_ABX,PGH,19.20
D5,Endpoint,701,Non_ABX,PL,18.30
D5,Endpoint,702,Non_ABX,PL,20.10
D5,Endpoint,703,Non_ABX,PL,19.50
D5,Endpoint,704,Non_ABX,PL,21.70
D5,Endpoint,705,Non_ABX,PL,18.60
D5,Endpoint,706,Non_ABX,PL,21.20
D5,Endpoint,511,ABX,Saline,18.80
D5,Endpoint,613,ABX,PGH,20.40
D5,Endpoint,516,ABX,Saline,21.50
D5,Endpoint,611,ABX,PGH,21.10
D5,Endpoint,612,ABX,PGH,20.00
D5,Endpoint,614,ABX,PGH,21.20
D5,Endpoint,512,ABX,Saline,19.70
D5,Endpoint,515,ABX,Saline,19.30
D5,Endpoint,615,ABX,PGH,20.90
D5,Endpoint,616,ABX,PGH,20.80
D5,Endpoint,513,ABX,Saline,19.60
D5,Endpoint,514,ABX,Saline,20.80
D5,Endpoint,711,ABX,PL,18.00
D5,Endpoint,712,ABX,PL,19.70
D5,Endpoint,713,ABX,PL,20.50
D5,Endpoint,714,ABX,PL,21.20
D5,Endpoint,715,ABX,PL,21.00
D5,Endpoint,716,ABX,PL,18.60
D-3,Baseline,604,Non_ABX,PGH,18.20
D-3,Baseline,606,Non_ABX,PGH,18.80
D-3,Baseline,601,Non_ABX,PGH,17.50
D-3,Baseline,504,Non_ABX,Saline,19.60
D-3,Baseline,505,Non_ABX,Saline,19.90
D-3,Baseline,506,Non_ABX,Saline,20.10
D-3,Baseline,501,Non_ABX,Saline,19.60
D-3,Baseline,502,Non_ABX,Saline,18.30
D-3,Baseline,602,Non_ABX,PGH,18.40
D-3,Baseline,605,Non_ABX,PGH,19.70
D-3,Baseline,603,Non_ABX,PGH,20.40
D-3,Baseline,503,Non_ABX,Saline,18.10
D-3,Baseline,705,Non_ABX,PL,18.70
D-3,Baseline,701,Non_ABX,PL,17.60
D-3,Baseline,702,Non_ABX,PL,20.00
D-3,Baseline,703,Non_ABX,PL,20.30
D-3,Baseline,704,Non_ABX,PL,21.30
D-3,Baseline,706,Non_ABX,PL,20.60
D-3,Baseline,511,ABX,Saline,18.20
D-3,Baseline,512,ABX,Saline,18.50
D-3,Baseline,514,ABX,Saline,19.80
D-3,Baseline,513,ABX,Saline,22.60
D-3,Baseline,515,ABX,Saline,17.60
D-3,Baseline,516,ABX,Saline,20.40
D-3,Baseline,611,ABX,PGH,19.40
D-3,Baseline,612,ABX,PGH,17.80
D-3,Baseline,613,ABX,PGH,18.70
D-3,Baseline,614,ABX,PGH,20.40
D-3,Baseline,616,ABX,PGH,18.90
D-3,Baseline,615,ABX,PGH,18.50
D-3,Baseline,711,ABX,PL,16.60
D-3,Baseline,712,ABX,PL,17.70
D-3,Baseline,713,ABX,PL,19.20
D-3,Baseline,714,ABX,PL,18.80
D-3,Baseline,715,ABX,PL,19.70
D-3,Baseline,716,ABX,PL,16.60