feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24001	100108	73941	1480	475	551	27805	791	192	15340	8426	308	34671	133	59	50	208	289	9969	7151	72	29	118	5882	19	20	14	607	22	0	9	14	8	4	4	3	0	0	0	0	0	4	0	52	221	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0
HEB24002	161913	3178	1170	389	636	157426	1523	205	4569	5791	182	17039	148	60	37	182	357	8150	5631	70	43	52	1668	21	18	0	353	28	8	15	23	6	7	0	6	6	0	0	0	0	3	0	29	200	7	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
HEB24003	135756	3022	1192	368	524	34217	406	163	19426	11228	158	44740	141	68	26	159	229	16519	15952	82	30	433	4000	25	8	0	493	13	0	6	5	13	7	0	0	0	0	0	0	9	0	0	92	203	0	0	0	0	7	25	0	3	0	0	0	0	0	0	0	0	0	0
HEB24004	85585	8985	1853	564	962	204981	1500	350	6669	9134	330	33766	224	71	59	245	1554	24980	9109	87	35	796	5692	28	14	17	761	28	21	12	21	7	5	9	0	0	4	0	0	0	0	0	61	211	0	0	0	0	8	25	0	0	0	0	4	0	0	0	0	0	0	0
HEB24005	89853	6747	2507	752	1042	123732	494	383	32244	17140	473	121534	256	122	88	296	711	41273	24694	98	42	93	1741	40	26	20	1102	38	22	10	14	17	14	6	4	8	14	4	0	11	6	0	161	209	0	6	0	5	7	15	5	0	0	0	0	0	0	0	3	0	0	0
HEB24006	137522	9200	1679	546	706	92739	388	223	75253	10515	288	40930	195	81	23	246	494	13224	14178	102	48	53	3040	37	14	0	379	27	19	12	20	0	12	4	7	4	7	4	0	0	0	0	78	245	0	0	8	5	7	37	4	0	0	0	0	0	0	0	0	0	4	0
HEB24023	19483	75528	3476	1076	1125	18174	689	619	2961	33655	606	255962	357	113	75	392	1885	62160	52249	116	75	205	1407	58	33	33	421	45	31	15	32	14	18	9	8	9	10	7	6	0	8	0	231	178	5	0	0	0	13	39	0	0	0	3	12	0	2	0	0	0	0	0
HEB24025	150072	64866	1869	572	859	141588	1209	179	17602	7056	362	21507	177	78	43	258	394	9178	6358	76	35	62	1487	51	12	23	298	34	12	12	13	6	10	3	9	5	0	0	0	7	0	4	39	198	5	5	3	4	13	19	0	0	0	2	0	0	0	0	0	0	0	0
HEB24037	168661	65241	2625	805	913	37971	488	370	44944	17146	474	99694	246	111	43	319	567	23928	31728	125	69	102	3599	48	22	19	218	31	28	11	16	9	13	2	4	7	6	5	0	0	0	5	251	180	5	8	0	12	11	44	0	0	0	0	0	0	0	0	0	0	0	0
HEB24044	233964	66606	2570	882	1050	59469	517	368	23521	18826	464	98072	259	103	93	418	526	26154	27952	160	62	108	3295	44	33	26	260	48	28	20	19	12	9	13	10	10	9	4	0	0	0	0	199	317	0	12	6	0	3	50	0	0	0	0	0	0	0	2	0	0	3	0
HEB24106	212990	20899	2685	815	886	16102	1926	574	5020	18112	483	210637	317	113	52	404	493	43968	58914	145	86	251	1216	59	28	31	318	45	20	14	26	16	11	9	10	0	13	0	0	0	0	0	151	153	0	0	0	11	11	87	2	8	0	5	0	0	4	0	0	0	0	0
HEB24122	231427	79424	3056	1095	1361	296416	589	446	47227	14259	584	54888	358	126	84	443	1435	13243	18103	161	101	241	8106	70	43	37	1052	53	25	21	20	16	9	13	12	9	10	5	0	0	8	4	112	389	9	0	10	0	7	65	2	0	0	0	0	2	0	0	0	0	0	0
HEB24133	150303	118523	1924	647	644	54329	606	290	37711	8207	349	32735	167	107	52	247	423	11038	6181	95	47	57	6053	42	24	27	611	17	18	12	14	13	8	5	5	6	4	0	0	0	4	4	47	426	0	0	5	0	0	28	0	0	0	0	0	0	0	0	0	0	0	2
HEB24134	275798	5800	1887	642	1016	186210	2141	259	51432	7254	324	29319	229	96	48	319	483	23142	11067	116	62	363	5182	45	28	3	1754	27	18	16	18	14	10	5	0	6	8	0	0	16	0	0	75	369	0	0	0	14	13	20	2	0	2	3	0	0	0	0	0	0	0	0
HEB24135	236028	97518	2480	797	974	37732	737	280	43188	12114	443	47557	257	95	66	407	419	13948	13227	149	91	80	17651	32	36	33	901	48	24	17	19	13	13	0	0	7	11	0	0	5	24	0	80	268	0	0	0	0	16	31	4	0	0	0	5	0	0	0	0	0	0	6
HEB24136	257292	85012	2356	740	1016	160585	5111	617	29771	6888	418	30853	267	114	55	404	539	10918	8369	121	54	67	30077	40	34	30	1294	34	12	14	28	8	7	7	7	6	4	3	0	0	0	0	38	255	0	6	0	0	0	88	4	0	0	0	0	3	0	0	0	0	3	0
HEB24137	164293	64558	2816	880	1145	150777	496	397	50450	10260	535	56818	270	121	57	428	7433	23889	14680	141	67	157	4655	46	34	30	517	41	24	22	30	12	13	5	10	10	4	3	0	0	8	2	66	351	0	4	9	10	28	27	0	0	0	0	0	0	0	0	0	2	0	0
HEB24138	270554	105002	2459	839	976	103167	523	377	75666	11917	452	48308	239	109	53	351	523	9240	20469	151	77	61	3591	46	21	32	656	24	16	13	13	12	10	9	6	7	5	0	0	0	0	0	52	325	0	6	0	0	4	89	3	0	0	6	0	0	0	0	0	0	0	4
HEB24169	539100	309104	5377	1757	2160	292707	1371	1059	40231	14909	915	69043	478	221	178	833	1520	20658	23205	305	197	227	6231	82	54	49	1546	71	33	33	64	34	29	19	12	15	22	4	11	0	14	0	227	1362	10	10	0	15	16	115	5	9	0	5	8	8	0	2	0	0	4	0
HEB24170	320377	347805	7054	2289	13072	228045	1271	850	7992	32517	1148	207163	698	273	156	892	1311	115980	45526	287	156	808	5690	123	57	70	3969	91	38	47	63	36	33	17	20	23	20	10	0	11	24	9	227	1184	10	10	7	17	44	156	0	0	12	3	10	18	5	0	6	3	0	0
HEB24171	395025	217754	4401	1420	1660	98636	1199	775	53772	18081	787	149562	442	183	104	668	768	31810	21860	212	131	131	12818	71	43	39	1291	63	47	25	34	30	16	11	9	16	11	7	7	11	0	0	186	386	10	8	0	7	33	87	0	0	9	0	9	24	0	0	0	0	0	0
HEB24172	144924	253554	8036	2512	2803	76979	1965	3887	49962	55889	1511	526465	896	315	172	1066	4234	136796	65929	318	148	328	13311	122	88	61	6558	120	67	45	88	45	37	16	17	29	21	13	0	20	24	9	454	931	0	15	14	18	42	97	7	25	10	0	0	0	0	0	10	4	0	0
HEB24173	461811	244680	5435	1820	2184	325514	1069	666	59587	10458	958	58594	538	206	175	787	4234	30876	30845	300	163	194	6915	86	53	66	1654	72	33	41	46	29	17	14	0	17	22	9	0	0	0	0	228	833	0	11	17	14	19	60	0	0	6	3	8	0	0	0	0	0	0	0
HEB24174	333569	798203	5886	1848	2769	39476	1127	665	69602	32959	1069	120726	496	228	135	813	1116	32381	35681	243	107	211	15164	78	56	50	2821	74	34	32	44	28	28	14	11	19	16	5	0	12	8	0	177	1758	14	5	9	12	18	89	5	0	8	0	0	0	0	0	0	0	0	0
